tradeoff,Only Importance,Only Diversity,i-DiVE-Greedy,i-DiVE-SwapI,i-DiVE-SwapD
0,12.32636309,0.026067972,12.38428,13.4735229,13.45883905
0.1,12.32636309,0.026067972,12.38428,13.4735229,13.45883905
0.2,12.32636309,0.026067972,12.38428,13.4735229,13.45883905
0.3,12.32636309,0.026067972,12.38428,13.4735229,13.45883905
0.4,12.32636309,0.026067972,12.38428,13.4735229,13.45883905
0.5,12.32636309,0.026067972,12.38428,13.4735229,13.45883905
0.6,12.32636309,0.026067972,12.38428,13.4735229,13.45883905
0.7,12.32636309,0.026067972,12.38428,13.4735229,13.45883905
0.8,12.32636309,0.026067972,12.38428,13.4735229,13.45883905
0.9,12.32636309,0.026067972,12.38428,13.4735229,13.45883905
1,12.32636309,0.026067972,12.38428,13.4735229,13.45883905
