Only Interestingness,5,0.161,0.149166667,0.340499399,00:00.0
Only Diversity,5,0.08,0.25,0.361827393,00:00.0
i-DiVE Greedy,5,0.1570395,0.2366667,0.366206167,00:00.6
i-DiVE-SwapI,5,0.160182739,0.2375,0.349327393,00:03.5
i-DiVE-SwapD,5,0.16070395,0.249166667,0.366206167,00:03.4
Only Interestingness,15,0.121825393,0.18015873,0.301984123,00:00.0
Only Diversity,15,0.083394142,0.225793651,0.309187793,00:00.0
i-DiVE Greedy,15,0.113005129,0.217857143,0.330862272,00:02.7
i-DiVE-SwapI,15,0.113193633,0.226984127,0.34017776,00:11.5
i-DiVE-SwapD,15,0.126587242,0.210714286,0.337301528,00:21.8
Only Interestingness,25,0.103038666,0.192777778,0.295816444,00:00.0
Only Diversity,25,0.073995095,0.219861111,0.293856206,00:00.0
i-DiVE Greedy,25,0.095544088,0.2175,0.313044088,00:04.9
i-DiVE-SwapI,25,0.095605022,0.226111111,0.321716133,00:31.9
i-DiVE-SwapD,25,0.126671642,0.201527778,0.328199419,01:32.6
Only Interestingness,35,0.089807697,0.201470588,0.291278285,00:00.0
Only Diversity,35,0.074536478,0.216736695,0.291273172,00:00.1
i-DiVE Greedy,35,0.08553909,0.214495798,0.300034888,00:07.2
i-DiVE-SwapI,35,0.084750001,0.223809524,0.308559525,00:59.9
i-DiVE-SwapD,35,0.100167799,0.208473389,0.308641188,01:44.1
