tradeoff,static,adaptive,optimal
0,0,0,0
0.1,0,0,0
0.2,0,0,0
0.3,0,0,0
0.4,0,0,0
0.5,0,1,0
0.6,0,3,5
0.7,0,15,20
0.8,0,27,31
0.82,0,29,38
0.84,0,31,39
0.86,0,31,42
0.88,2,31,43
0.9,2,35,44
0.92,4,35,44
0.94,31,37,44
0.96,32,37,48
0.98,34,37,48
1,65,65,65
