Only Interestingness,5,0.188577207,0.195833333,0.38441054,00:00.0
Only Diversity,5,0.136166357,0.25,0.386166357,00:00.0
i-DiVE Greedy,5,0.172034092,0.229166667,0.401200759,00:00.6
i-DiVE-SwapI,5,0.160524524,0.233333333,0.393857858,00:04.1
i-DiVE-SwapD,5,0.160524524,0.241666667,0.402191191,00:03.9
Only Interestingness,15,0.149025464,0.199206349,0.348231813,00:00.0
Only Diversity,15,0.080673738,0.236904762,0.317578499,00:00.0
i-DiVE Greedy,15,0.140823452,0.220238095,0.361061548,00:03.3
i-DiVE-SwapI,15,0.140823452,0.233730159,0.374553611,00:13.6
i-DiVE-SwapD,15,0.161776854,0.207539683,0.369316536,00:25.4
Only Interestingness,25,0.124003651,0.211388889,0.33539254,00:00.0
Only Diversity,25,0.082253163,0.230694444,0.312947608,00:00.1
i-DiVE Greedy,25,0.118169952,0.221527778,0.33969773,00:06.1
i-DiVE-SwapI,25,0.116770604,0.234027778,0.350798382,00:39.8
i-DiVE-SwapD,25,0.148357435,0.205694444,0.354051879,01:29.8
Only Interestingness,35,0.106975932,0.21547619,0.322452122,00:00.0
Only Diversity,35,0.081013412,0.227731092,0.308744505,00:00.1
i-DiVE Greedy,35,0.10599928,0.219537815,0.325537095,00:07.6
i-DiVE-SwapI,35,0.106047939,0.231652661,0.3377006,00:33.5
i-DiVE-SwapD,35,0.136726562,0.205042017,0.341768579,01:54.1
