Random,5,0.236179042,0.203,0.439179042,00:00.0
Only Interestingness,5,0.542050308,0.166666667,0.708716975,00:00.0
Only Diversity,5,0.456780445,0.241666667,0.698447112,00:00.0
i-DiVE Greedy,5,0.541511008,0.225,0.766511008,00:00.6
i-DiVE-SwapI,5,0.541511008,0.241666667,0.783177675,00:03.7
i-DiVE-SwapD,5,0.541511008,0.225,0.766511008,00:03.5
Random,15,0.250201359,0.19668254,0.446883899,00:00.0
Only Interestingness,15,0.498631954,0.19047619,0.689108144,00:00.0
Only Diversity,15,0.347631753,0.22047619,0.568107944,00:00.0
i-DiVE Greedy,15,0.498787965,0.203968254,0.702756219,00:02.7
i-DiVE-SwapI,15,0.497733647,0.226190476,0.723924123,00:19.0
i-DiVE-SwapD,15,0.547966426,0.181746032,0.729712458,00:18.3
Random,25,0.255682449,0.196922222,0.452604671,00:00.1
Only Interestingness,25,0.456568018,0.190555556,0.647123574,00:00.0
Only Diversity,25,0.34861632,0.214555556,0.563171875,00:00.1
i-DiVE Greedy,25,0.456568018,0.200555556,0.657123573,00:05.3
i-DiVE-SwapI,25,0.456568018,0.228888889,0.685456907,00:24.8
i-DiVE-SwapD,25,0.527757928,0.176944444,0.704702372,01:24.5
Random,35,0.2458349,0.196997199,0.442832098,00:00.1
Only Interestingness,35,0.399860141,0.199137255,0.598997396,00:00.0
Only Diversity,35,0.333816942,0.211904762,0.545721704,00:00.1
i-DiVE Greedy,35,0.399860141,0.203137255,0.602997396,00:09.4
i-DiVE-SwapI,35,0.399860141,0.233277311,0.633137452,00:40.2
i-DiVE-SwapD,35,0.455178271,0.182913165,0.638091437,02:32.9
