tradeoff,static,hypothetical,pi95,pi90,pi85
0,0,0,0,0,0
0.1,0,0,0,2,2
0.2,0,0,0,3,5
0.3,0,9,2,12,14
0.4,0,14,10,22,24
0.5,0,27,23,30,36
0.6,0,37,30,35,40
0.7,0,42,39,41,40
0.8,0,49,45,46,50
0.82,0,49,46,46,50
0.84,0,49,47,48,50
0.86,5,49,47,48,50
0.88,12,49,47,48,50
0.9,16,53,49,52,52
0.92,24,53,49,52,54
0.94,24,53,49,52,54
0.96,43,53,50,52,54
0.98,43,53,50,52,54
1,65,65,65,65,65
