Only Importance,5,1.424879551
Only Diversity,5,0.070186853
i-DiVE-Greedy,5,1.432901383
i-DiVE-SwapI,5,1.850280523
i-DiVE-SwapD,5,1.977669719
Only Importance,15,1.451127338
Only Diversity,15,0.112299919
i-DiVE-Greedy,15,1.450259685
i-DiVE-SwapI,15,2.22298336
i-DiVE-SwapD,15,2.268977546
Only Importance,25,1.476181269
Only Diversity,25,0.185497046
i-DiVE-Greedy,25,1.60051322
i-DiVE-SwapI,25,2.989122153
i-DiVE-SwapD,25,2.946600342
Only Importance,35,1.451258907
Only Diversity,35,0.307824135
i-DiVE-Greedy,35,1.697990179
i-DiVE-SwapI,35,3.819934077
i-DiVE-SwapD,35,3.869333732
