Only Interestingness,5,0.311385939,0.1875,0.498885939,00:00.0
Only Diversity,5,0.185739664,0.25,0.475739664,00:00.0
i-DiVE Greedy,5,0.304082395,0.246,0.505774157,00:00.6
i-DiVE-SwapI,5,0.310898845,0.249999,0.534089884,00:03.4
i-DiVE-SwapD,5,0.309089884,0.24954444,0.521589884,00:04.9
Only Interestingness,15,0.256044308,0.179920635,0.465964943,00:00.0
Only Diversity,15,0.171080259,0.226984127,0.398064386,00:00.0
i-DiVE Greedy,15,0.256044308,0.209920635,0.465964943,00:02.6
i-DiVE-SwapI,15,0.256044308,0.228968254,0.485012562,00:11.3
i-DiVE-SwapD,15,0.279488891,0.204761905,0.484250795,00:27.3
Only Interestingness,25,0.208629939,0.181944444,0.420574383,00:00.0
Only Diversity,25,0.156927928,0.220694444,0.377622372,00:00.0
i-DiVE Greedy,25,0.207376905,0.215,0.422376905,00:04.8
i-DiVE-SwapI,25,0.207376905,0.228888889,0.436265794,00:21.9
i-DiVE-SwapD,25,0.253221204,0.190694444,0.453915648,01:03.9
Only Interestingness,35,0.188369441,0.18267507,0.391044511,00:00.0
Only Diversity,35,0.143242959,0.217577031,0.36081999,00:00.1
i-DiVE Greedy,35,0.177446759,0.21407563,0.39152239,00:07.2
i-DiVE-SwapI,35,0.177446759,0.226330532,0.403777292,00:30.1
i-DiVE-SwapD,35,0.220729061,0.192086835,0.432815895,02:55.5
