Only Interestingness,5,0.636135939,0.35,0.986135939,00:00.0
Only Diversity,5,0.3784303,0.465,1.025784303,00:00.0
i-DiVE Greedy,5,0.638132,0.433333333,1.053509514,00:00.6
i-DiVE-SwapI,5,0.636135939,0.458333333,1.04021608,00:05.5
i-DiVE-SwapD,5,0.631882747,0.465,1.056882747,00:06.1
Only Interestingness,15,0.584871726,0.320634921,0.905506646,00:00.0
Only Diversity,15,0.355611466,0.453015873,0.808627339,00:00.1
i-DiVE Greedy,15,0.533308206,0.418253968,0.951562174,00:03.4
i-DiVE-SwapI,15,0.539525052,0.440952381,0.980477433,00:27.2
i-DiVE-SwapD,15,0.574326879,0.397619048,0.971945927,00:31.4
Only Interestingness,25,0.510782589,0.386388889,0.897171478,00:00.0
Only Diversity,25,0.349147284,0.440888889,0.790036173,00:00.1
i-DiVE Greedy,25,0.503785927,0.401611111,0.905397038,00:05.5
i-DiVE-SwapI,25,0.495495072,0.444333333,0.939828405,00:38.8
i-DiVE-SwapD,25,0.533472625,0.389166667,0.922639292,01:28.2
Only Interestingness,35,0.454112542,0.400140056,0.854252598,00:00.0
Only Diversity,35,0.332677049,0.434061625,0.766738674,00:00.1
i-DiVE Greedy,35,0.449027182,0.41092437,0.859951552,00:09.2
i-DiVE-SwapI,35,0.45102066,0.446722689,0.897743349,01:23.5
i-DiVE-SwapD,35,0.516751151,0.38254902,0.899300171,02:56.9
