Random,5,0.037562793,0.211666667,0.249229459,00:00.0
Only Interestingness,5,0.116901203,0.191666667,0.308567869,00:00.0
Only Diversity,5,0.058062903,0.25,0.308062903,00:00.0
i-DiVE Greedy,5,0.117205131,0.241666667,0.358871798,00:00.6
i-DiVE-SwapI,5,0.117205131,0.25,0.367205131,00:04.0
i-DiVE-SwapD,5,0.117205131,0.241666667,0.358871798,00:03.9
Random,15,0.038330956,0.20952381,0.247854766,00:00.0
Only Interestingness,15,0.092114719,0.20952381,0.301638529,00:00.0
Only Diversity,15,0.056583159,0.231746032,0.288329191,00:00.0
i-DiVE Greedy,15,0.08376131,0.224603175,0.308364484,00:03.2
i-DiVE-SwapI,15,0.088714769,0.236507937,0.325222705,00:12.9
i-DiVE-SwapD,15,0.097197754,0.216666667,0.31386442,00:18.7
Random,25,0.035117998,0.211777778,0.246895776,00:00.1
Only Interestingness,25,0.073578794,0.213888889,0.287467683,00:00.0
Only Diversity,25,0.052075925,0.226666667,0.278742591,00:00.1
i-DiVE Greedy,25,0.069292994,0.222222222,0.291515216,00:05.4
i-DiVE-SwapI,25,0.07054195,0.234166667,0.304708617,00:37.4
i-DiVE-SwapD,25,0.084465944,0.213333333,0.297799277,01:00.6
Random,35,0.037039642,0.213109244,0.250148885,00:00.1
Only Interestingness,35,0.063078323,0.208263305,0.271341629,00:00.0
Only Diversity,35,0.046257552,0.224089636,0.270347188,00:00.1
i-DiVE Greedy,35,0.057812982,0.221428571,0.279241554,00:08.4
i-DiVE-SwapI,35,0.057807093,0.23557423,0.293381323,00:56.2
i-DiVE-SwapD,35,0.072047358,0.213445378,0.285492736,02:08.9
