Random,5,0.109021538,0.2175,0.326521538,00:00.0
Only Interestingness,5,0.266688443,0.163333333,0.430021776,00:00.0
Only Diversity,5,0.102314619,0.25,0.352314619,00:00.0
i-DiVE Greedy,5,0.266688443,0.25,0.516688443,00:00.6
i-DiVE-SwapI,5,0.297344522,0.25,0.547344522,00:03.5
i-DiVE-SwapD,5,0.291323,0.25,0.541323,00:03.4
Random,15,0.092753335,0.21015873,0.302912066,00:00.0
Only Interestingness,15,0.210753832,0.15968254,0.370436372,00:00.0
Only Diversity,15,0.115342056,0.23015873,0.345500786,00:00.0
i-DiVE Greedy,15,0.210753832,0.207936508,0.41869034,00:02.7
i-DiVE-SwapI,15,0.210753832,0.224603175,0.435357007,00:20.5
i-DiVE-SwapD,15,0.210753832,0.220825397,0.431579229,00:27.1
Random,25,0.09766757,0.213694444,0.311362014,00:00.1
Only Interestingness,25,0.185367645,0.144722222,0.330089867,00:00.0
Only Diversity,25,0.101228355,0.224444444,0.3256728,00:00.1
i-DiVE Greedy,25,0.175367645,0.213333333,0.388700978,00:05.6
i-DiVE-SwapI,25,0.175367645,0.227222222,0.402589867,01:02.1
i-DiVE-SwapD,25,0.175367645,0.220833333,0.396200978,01:26.3
Random,35,0.102146193,0.214635854,0.316782047,00:00.1
Only Interestingness,35,0.171286814,0.133865546,0.30515236,00:00.0
Only Diversity,35,0.096304357,0.211568627,0.307872984,00:00.1
i-DiVE Greedy,35,0.151286814,0.214705882,0.365992696,00:08.3
i-DiVE-SwapI,35,0.151286814,0.222112325,0.373399138,00:37.4
i-DiVE-SwapD,35,0.151286814,0.220795518,0.372082332,03:16.0
