Random,5,0.172618668,0.190833333,0.363452001,00:00.1
Only Interestingness,5,0.407470864,0.133333333,0.540804197,00:00.0
Only Diversity,5,0.286616086,0.233333333,0.51994942,00:00.1
i-DiVE Greedy,5,0.407470864,0.233334,0.640804864,00:00.6
i-DiVE-SwapI,5,0.419674709,0.2346523,0.654327009,00:03.5
i-DiVE-SwapD,5,0.407470864,0.24,0.647470864,00:05.1
Random,15,0.178668525,0.19952381,0.378192334,00:00.0
Only Interestingness,15,0.362101333,0.156190476,0.518291809,00:00.0
Only Diversity,15,0.222319885,0.216666667,0.438986552,00:00.0
i-DiVE Greedy,15,0.362101333,0.176190476,0.538291809,00:02.7
i-DiVE-SwapI,15,0.362101333,0.2,0.562101333,00:12.3
i-DiVE-SwapD,15,0.391423187,0.157142857,0.548566044,00:29.6
Random,25,0.17173845,0.19575,0.36748845,00:00.1
Only Interestingness,25,0.295047289,0.186944444,0.481991733,00:00.0
Only Diversity,25,0.200548119,0.209166667,0.409714785,00:00.1
i-DiVE Greedy,25,0.292877043,0.193611111,0.486488154,00:05.2
i-DiVE-SwapI,25,0.291928052,0.213888889,0.505816941,00:35.9
i-DiVE-SwapD,25,0.354566553,0.147222222,0.501788775,01:39.1
Random,35,0.172876403,0.196372549,0.369248952,00:00.1
Only Interestingness,35,0.252252483,0.192436975,0.444689458,00:00.0
Only Diversity,35,0.1858957,0.204061625,0.389957325,00:00.1
i-DiVE Greedy,35,0.249101143,0.198879552,0.447980695,00:08.4
i-DiVE-SwapI,35,0.247782925,0.217086835,0.46486976,01:34.0
i-DiVE-SwapD,35,0.321731859,0.141596639,0.463328498,03:21.2
