tradeoff,static,adaptive,optimal
0,0,0,0
0.1,0,0,0
0.2,0,0,0
0.3,0,0,2
0.4,0,0,4
0.5,0,2,9
0.6,0,7,19
0.7,0,16,30
0.8,0,31,37
0.82,0,33,38
0.84,0,34,39
0.86,0,35,39
0.88,2,35,41
0.9,4,36,41
0.92,6,36,41
0.94,24,36,41
0.96,30,36,41
0.98,32,36,41
1,65,65,65
