Only Interestingness,5,0.391232323,0.383333333,0.650021777,00:00.0
Only Diversity,5,0.199956416,0.491666667,0.699956416,00:00.0
i-DiVE Greedy,5,0.392985966,0.491666667,0.708312866,00:00.6
i-DiVE-SwapI,5,0.396632313,0.491666667,0.738535992,00:03.6
i-DiVE-SwapD,5,0.396680021,0.491666667,0.708312866,00:03.4
Only Interestingness,15,0.210753832,0.415873016,0.626626848,00:00.0
Only Diversity,15,0.137104117,0.463492063,0.60059618,00:00.0
i-DiVE Greedy,15,0.197131039,0.43968254,0.636813579,00:02.7
i-DiVE-SwapI,15,0.199205821,0.475396825,0.674602646,00:18.3
i-DiVE-SwapD,15,0.213473344,0.430952381,0.644425725,00:23.7
Only Interestingness,25,0.175367645,0.424166667,0.599534312,00:00.0
Only Diversity,25,0.122071767,0.453611111,0.575682878,00:00.1
i-DiVE Greedy,25,0.16692208,0.442222222,0.609144303,00:05.2
i-DiVE-SwapI,25,0.16957471,0.464166667,0.633741377,00:24.2
i-DiVE-SwapD,25,0.216185777,0.411388889,0.627574666,01:21.3
Only Interestingness,35,0.151286814,0.432072829,0.583359643,00:00.0
Only Diversity,35,0.106087789,0.447338936,0.553426725,00:00.1
i-DiVE Greedy,35,0.146316921,0.44047619,0.586793112,00:07.9
i-DiVE-SwapI,35,0.147481847,0.463865546,0.611347393,00:54.0
i-DiVE-SwapD,35,0.209753086,0.406022409,0.615775495,02:39.1
