Random,5,0.072095657,0.215833333,0.28792899,00:00.0
Only Interestingness,5,0.213525642,0.191666667,0.405192309,00:00.0
Only Diversity,5,0.167381507,0.2251,0.392481507,00:00.0
i-DiVE Greedy,5,0.214,0.225,0.439,00:00.6
i-DiVE-SwapI,5,0.228158939,0.233333333,0.461492272,00:03.8
i-DiVE-SwapD,5,0.228158939,0.233666667,0.461825605,00:03.8
Random,15,0.082412005,0.208333333,0.290745339,00:00.0
Only Interestingness,15,0.172287123,0.200793651,0.373080774,00:00.0
Only Diversity,15,0.108547261,0.229365079,0.33791234,00:00.0
i-DiVE Greedy,15,0.169182336,0.213492063,0.382674399,00:02.8
i-DiVE-SwapI,15,0.169381702,0.227777778,0.39715948,00:14.1
i-DiVE-SwapD,15,0.200144497,0.195238095,0.395382592,00:37.6
Random,25,0.08301702,0.207333333,0.290350353,00:00.1
Only Interestingness,25,0.145718679,0.211388889,0.357107568,00:00.0
Only Diversity,25,0.103940241,0.223333333,0.327273574,00:00.1
i-DiVE Greedy,25,0.144403608,0.214444444,0.358848053,00:05.4
i-DiVE-SwapI,25,0.143678604,0.231666667,0.37534527,00:37.4
i-DiVE-SwapD,25,0.191570599,0.186944444,0.378515043,01:36.7
Random,35,0.087427793,0.208669468,0.296097261,00:00.1
Only Interestingness,35,0.127007263,0.21232493,0.339332193,00:00.0
Only Diversity,35,0.100535507,0.219467787,0.320003294,00:00.1
i-DiVE Greedy,35,0.126581373,0.213865546,0.340446919,00:08.2
i-DiVE-SwapI,35,0.126831329,0.231512605,0.358343934,00:56.0
i-DiVE-SwapD,35,0.188630692,0.183193277,0.37182397,03:16.6
