Random,5,0.168159308,0.442777778,0.610937086,00:00.0
SeeDB,5,0.531917714,0.383333333,0.915251048,00:00.0
Greedy,5,0.345470977,0.5,0.845470977,00:00.1
SwapU,5,0.502277129,0.45,0.952277129,00:04.5
SwapD,5,0.480988911,0.483333333,0.964322244,00:04.4
pGreedyPruning,5,0.516483784,0.416666667,0.93315045,00:00.6
Random,15,0.205699043,0.447685185,0.653384228,00:00.0
SeeDB,15,0.471700249,0.403174603,0.874874852,00:00.0
Greedy,15,0.318241392,0.481349206,0.799590599,00:00.1
SwapU,15,0.463676,0.458730159,0.922406159,00:16.8
SwapD,15,0.463676,0.449206349,0.91288235,00:16.1
pGreedyPruning,15,0.470887809,0.420634921,0.89152273,00:03.4
Random,25,0.198669331,0.443402778,0.642072109,00:00.1
SeeDB,25,0.43622978,0.430555556,0.866785335,00:00.0
Greedy,25,0.284675607,0.471944444,0.756620051,00:00.2
SwapU,25,0.430788065,0.471666667,0.902454731,00:37.0
SwapD,25,0.427015059,0.448888889,0.875903948,00:35.6
pGreedyPruning,25,0.436197156,0.432222222,0.868419378,00:07.7
Random,35,0.199581111,0.442955182,0.642536293,00:00.1
SeeDB,35,0.41522809,0.42605042,0.84127851,00:00.0
Greedy,35,0.248214945,0.467436975,0.71565192,00:00.3
SwapU,35,0.40982958,0.465826331,0.875655911,01:03.2
SwapD,35,0.407530175,0.442296919,0.849827094,01:02.0
pGreedyPruning,35,0.41522809,0.42605042,0.84127851,00:14.1
