Random,5,0.00300765
SeeDB,5,0.802004623
Greedy,5,0.069185734
SwapU,5,2.964177179
SwapD,5,2.874177742
pGreedyPruning,5,1.068793678
SwapDPruning,5,2.93386178
Random,15,0.003990173
SeeDB,15,
Greedy,15,0.108289957
SwapU,15,
SwapD,15,
pGreedyPruning,15,
SwapDPruning,15,
Random,25,0.010025501
SeeDB,25,
Greedy,25,0.239643335
SwapU,25,
SwapD,25,
pGreedyPruning,25,
SwapDPruning,25,
Random,35,0.010514975
SeeDB,35,
Greedy,35,0.294122458
SwapU,35,
SwapD,35,
pGreedyPruning,35,
SwapDPruning,35,
