Random,5,0.682128748,0.422,1.104128748,00:00.0,,0.341064374,0.211,0.552064374
SBI,5,1.393109464,0.4,1.793109464,00:00.0,,0.696554732,0.2,0.896554732
SBD,5,1.183308136,0.5,1.683308136,00:00.0,,0.591654068,0.25,0.841654068
SBID,5,0.996725937,0.5,1.496725937,00:00.0,,0.498362969,0.25,0.748362969
SBID-SwapI,5,1.382311396,0.366666667,1.748978062,00:04.4,,0.691155698,0.183333333,0.874489031
SBID-SwapD,5,1.382311396,0.433333333,1.815644729,00:04.1,,0.691155698,0.216666667,0.907822364
Random,15,0.683849218,0.429809524,1.113658742,00:00.0,,0.341924609,0.214904762,0.556829371
SBI,15,1.310855746,0.411111111,1.721966857,00:00.0,,0.655427873,0.205555556,0.860983429
SBD,15,0.66126117,0.476190476,1.137451646,00:00.0,,0.330630585,0.238095238,0.568725823
SBID,15,0.719434611,0.472063492,1.191498103,00:00.0,,0.359717306,0.236031746,0.595749052
SBID-SwapI,15,1.310855746,0.436507937,1.747363682,00:15.2,,0.655427873,0.218253968,0.873681841
SBID-SwapD,15,1.382889454,0.374603175,1.757492629,00:29.3,,0.691444727,0.187301587,0.878746314
Random,25,0.65661961,0.431311111,1.087930721,00:00.1,,0.328309805,0.215655556,0.543965361
SBI,25,1.197264342,0.419444444,1.616708786,00:00.0,,0.598632171,0.209722222,0.808354393
SBD,25,0.747555638,0.463555556,1.211111193,00:00.1,,0.373777819,0.231777778,0.605555597
SBID,25,0.721122821,0.462666667,1.183789488,00:00.1,,0.36056141,0.231333333,0.591894744
SBID-SwapI,25,1.190401615,0.455555556,1.64595717,00:30.8,,0.595200807,0.227777778,0.822978585
SBID-SwapD,25,1.37930597,0.359444444,1.738750415,01:16.0,,0.689652985,0.179722222,0.869375207
Random,35,0.590623192,0.430106443,1.020729634,00:00.1,,0.295311596,0.215053221,0.510364817
SBI,35,1.123503218,0.424089636,1.547592854,00:00.0,,0.561751609,0.212044818,0.773796427
SBD,35,0.722768354,0.456526611,1.179294964,00:00.1,,0.361384177,0.228263305,0.589647482
SBID,35,0.727606399,0.456806723,1.184413121,00:00.1,,0.363803199,0.228403361,0.592206561
SBID-SwapI,35,1.123145002,0.459663866,1.582808868,00:50.6,,0.561572501,0.229831933,0.791404434
SBID-SwapD,35,1.379370937,0.346778711,1.726149649,03:30.8,,0.689685469,0.173389356,0.863074824
